PM10,PM25,SO2,NO2,O3,CO,Humidity,Temperature,WindDirection,WindSpeed,Evaporation,GlobalRadiation,SolarRadiation,DateTemp,Date,Day,Month,Year,Hour,Location,LocationInNum,Usage,MaxDemand,Bill
8.06,6.536,0.0005,0.012,0.0027,0.66,84.029,0.548,84.834,25.659,1.3,12.76,,1/1/2018,1/1/2018 0:00,1,1,2018,0000,KL,1,6681.361559,17561,2824.662702
13.513,11.757,0.0004,0.0045,0.0037,0.628,97.645,0.601,83.134,25.919,1.3,12.76,,1/1/2018,1/1/2018 1:00,1,1,2018,0100,KL,1,6681.361559,17561,2824.662702
21.267,17.755,0.0007,0.0001,0.0003,0.941,183.782,0.47,87.784,25.467,1.3,12.76,,1/1/2018,1/1/2018 2:00,1,1,2018,0200,KL,1,6681.361559,17561,2824.662702
9.703,6.669,0.0006,0.0058,0.0005,0.796,235.631,0.445,88.85,25.27,1.3,12.76,,1/1/2018,1/1/2018 3:00,1,1,2018,0300,KL,1,6681.361559,17561,2824.662702
10.318,7.803,0.0004,0.0019,0.0018,0.544,115.195,0.505,87.867,25.164,1.3,12.76,,1/1/2018,1/1/2018 4:00,1,1,2018,0400,KL,1,6681.361559,17561,2824.662702
6.527,4.471,0.0004,0.001,0.0003,0.563,142.898,0.741,92.767,24.107,1.3,12.76,,1/1/2018,1/1/2018 5:00,1,1,2018,0500,KL,1,6681.361559,17561,2824.662702
7.579,4.726,0.0005,0.0046,0.0002,0.766,154.325,0.547,92.1,24.27,1.3,12.76,,1/1/2018,1/1/2018 8:00,1,1,2018,0800,KL,1,6681.361559,17561,2824.662702
11.12,7.86,0.0008,0.0053,0.0053,0.757,186.377,0.17,83.639,26.661,1.3,12.76,,1/1/2018,1/1/2018 10:00,1,1,2018,1000,KL,1,6681.361559,17561,2824.662702
2.285,1.078,0.0008,0.0104,0.0001,0.706,232.143,0.569,93.183,24.156,1.7,14.08,,2/1/2018,2/1/2018 4:00,2,1,2018,0400,KL,1,6681.361559,17561,2824.662702
3.794,2.871,0.0007,0.0096,0.0001,0.647,204.737,0.519,92.583,24.175,1.7,14.08,,2/1/2018,2/1/2018 5:00,2,1,2018,0500,KL,1,6681.361559,17561,2824.662702
24.605,20.944,0.0015,0.0237,0.0224,1.013,177.075,0.549,79.381,27.893,1.7,14.08,,2/1/2018,2/1/2018 11:00,2,1,2018,1100,KL,1,6681.361559,17561,2824.662702
28.315,25.841,0.0011,0.0139,0.0286,0.758,118.624,1.357,75.184,28.357,1.7,14.08,,2/1/2018,2/1/2018 12:00,2,1,2018,1200,KL,1,6681.361559,17561,2824.662702
10.372,9.254,0.0008,0.0071,0.0341,0.552,116.251,1.47,71.27,28.892,1.7,14.08,,2/1/2018,2/1/2018 13:00,2,1,2018,1300,KL,1,6681.361559,17561,2824.662702
5.235,4.293,0.0007,0.0045,0.0266,0.502,114.079,2.155,68.05,29.267,1.7,14.08,,2/1/2018,2/1/2018 15:00,2,1,2018,1500,KL,1,6681.361559,17561,2824.662702
