PM10,PM25,SO2,NO2,O3,CO,Humidity,Temperature,WindDirection,WindSpeed,Evaporation,GlobalRadiation,SolarRadiation,DateTemp,Date,Day,Month,Year,Hour,Location,LocationInNum,LocationInNum,MaxDemand,Bill
30.041,21.933,0.0022,0.0156,0.0217,0.64,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,0000,PJ,2,7691.446237,18101,3464.183468
39.663,39.568,0.0028,0.0204,0.012,0.762,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,0100,PJ,2,7691.446237,18101,3464.183468
47.638,32.074,0.0025,0.023,0.0065,0.883,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,0200,PJ,2,7691.446237,18101,3464.183468
52.434,47.852,0.0027,0.0276,0.0036,1.032,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,0300,PJ,2,7691.446237,18101,3464.183468
45.851,43.591,0.0025,0.0222,0.0035,0.901,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,0400,PJ,2,7691.446237,18101,3464.183468
36.872,30.143,0.0009,0.0047,0.0687,0.549,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,0500,PJ,2,7691.446237,18101,3464.183468
35.433,27.606,0.0011,0.0064,0.0586,0.532,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,0600,PJ,2,7691.446237,18101,3464.183468
20.924,11.892,0.0011,0.0045,0.0481,0.511,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,0700,PJ,2,7691.446237,18101,3464.183468
25.873,19.249,0.0012,0.0051,0.0349,0.471,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,0800,PJ,2,7691.446237,18101,3464.183468
29.543,24.023,0.0011,0.0089,0.0256,0.542,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,0900,PJ,2,7691.446237,18101,3464.183468
23.326,18.517,0.0011,0.0131,0.0233,0.553,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,1000,PJ,2,7691.446237,18101,3464.183468
32.162,25.772,0.0012,0.0174,0.0202,0.672,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,1100,PJ,2,7691.446237,18101,3464.183468
29.602,23.198,0.0011,0.0172,0.0211,0.685,70.4,28.4,250.00 ,6.80 ,7.1,21.33,,1/1/2023,,1,1,2023,1200,PJ,2,7691.446237,18101,3464.183468
24.506,18.012,0.0014,0.0317,0.0031,0.849,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,1300,PJ,2,7691.446237,18101,3464.183468
32.422,24.705,0.0016,0.0327,0.0017,0.913,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,1400,PJ,2,7691.446237,18101,3464.183468
32.253,23.804,0.0017,0.0321,0.0009,0.941,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,1500,PJ,2,7691.446237,18101,3464.183468
39.589,28.981,0.0014,0.0285,0.0015,0.912,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,1600,PJ,2,7691.446237,18101,3464.183468
38.607,29.343,0.0014,0.0259,0.0022,0.878,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,1700,PJ,2,7691.446237,18101,3464.183468
52.324,40.916,0.0014,0.0266,0.0007,0.881,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,1800,PJ,2,7691.446237,18101,3464.183468
34.719,25.01,0.0024,0.0223,0.0017, ,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,1900,PJ,2,7691.446237,18101,3464.183468
39.063,29.414,0.002,0.0238,0.0052,1.026,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,2000,PJ,2,7691.446237,18101,3464.183468
53.523,41.677,0.0018,0.0308,0.007,1.078,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,2100,PJ,2,7691.446237,18101,3464.183468
47.126,36.285,0.0017,0.0204,0.018,0.759,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,2200,PJ,2,7691.446237,18101,3464.183468
40.026,30.683,0.0014,0.0138,0.0295,0.678,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,2300,PJ,2,7691.446237,18101,3464.183468
18.094,10.422,0.0008,0.0107,0.0365,0.661,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,0000,PJ,2,7691.446237,18101,3464.183468
21.476,13.745,0.0007,0.0111,0.0403,0.642,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,0100,PJ,2,7691.446237,18101,3464.183468
9.541,3.441,0.0005,0.0108,0.0308,0.623,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,0200,PJ,2,7691.446237,18101,3464.183468
19.216,12.677,0.0007,0.012,0.022,0.657,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,0300,PJ,2,7691.446237,18101,3464.183468
10.792,4.863,0.0007,0.014,0.0149,0.662,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,0400,PJ,2,7691.446237,18101,3464.183468
19.857,16.462,0.0007,0.0189,0.008,0.762,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,0500,PJ,2,7691.446237,18101,3464.183468
18.788,14.014,0.0007,0.0189,0.0076,0.847,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,0600,PJ,2,7691.446237,18101,3464.183468
16.658,12.236,0.0008,0.022,0.0046,0.963,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,0700,PJ,2,7691.446237,18101,3464.183468
18.411,13.388,0.0009,0.0288,0.0014,1.12,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,0800,PJ,2,7691.446237,18101,3464.183468
23.539,17.031,0.001,0.0262,0.0007,1.304,89.9,27.6,240.00 ,8.40 ,0.8,15.95,,2/1/2023,,2,1,2023,0900,PJ,2,7691.446237,18101,3464.183468
28.342,23.558,0.001,0.024,0.0016,1.06,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,1000,PJ,2,7691.446237,18101,3464.183468
24.382,18.905,0.0009,0.0224,0.0021,0.94,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,1100,PJ,2,7691.446237,18101,3464.183468
18.367,14.785,0.0008,0.0232,0.003,0.846,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,1200,PJ,2,7691.446237,18101,3464.183468
11.528,8.759,0.0008,0.0142,0.0075,0.758,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,1300,PJ,2,7691.446237,18101,3464.183468
27.208,24.02,0.0008,0.0086,0.0144,0.652,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,1400,PJ,2,7691.446237,18101,3464.183468
27.62,24.11,0.0008,0.0092,0.012,0.659,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,1500,PJ,2,7691.446237,18101,3464.183468
16.535,13.164,0.001,0.0171,0.0029, ,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,1600,PJ,2,7691.446237,18101,3464.183468
12.472,9.425,0.0009,0.017,0.0048,0.911,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,1700,PJ,2,7691.446237,18101,3464.183468
15.948,13.754,0.0008,0.0194,0.0053,0.969,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,1800,PJ,2,7691.446237,18101,3464.183468
18.64,15.427,0.0008,0.0231,0.0033,1.051,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,1900,PJ,2,7691.446237,18101,3464.183468
8.89,7.74,0.0009,0.0213,0.0057,0.97,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,2000,PJ,2,7691.446237,18101,3464.183468
18.741,15.117,0.0009,0.0215,0.0075,0.905,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,2100,PJ,2,7691.446237,18101,3464.183468
12.792,10.785,0.0008,0.0175,0.011,0.8,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,2200,PJ,2,7691.446237,18101,3464.183468
12.556,9.277,0.0007,0.0179,0.0135,0.793,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,2300,PJ,2,7691.446237,18101,3464.183468
14.409,12.685,0.0008,0.0214,0.01,0.851,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,0000,PJ,2,7691.446237,18101,3464.183468
17.051,12.762,0.0008,0.0279,0.0066,0.963,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,0100,PJ,2,7691.446237,18101,3464.183468
23.197,19.379,0.0008,0.0293,0.005,1.035,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,0200,PJ,2,7691.446237,18101,3464.183468
20.128,16.046,0.0009,0.0314,0.0023,1.194,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,0300,PJ,2,7691.446237,18101,3464.183468
27.529,21.99,0.001,0.0298,0.0016,1.342,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,0400,PJ,2,7691.446237,18101,3464.183468
26.837,21.072,0.0013,0.0262,0.0014,1.302,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,0500,PJ,2,7691.446237,18101,3464.183468
21.781,16.56,0.0012,0.0239,0.0016,1.245,84.1,27.4,360.00 ,8.20 ,4,17.14,,3/1/2023,,3,1,2023,0600,PJ,2,7691.446237,18101,3464.183468
32.624,28.399,0.002,0.0392,0.0012,1.921,81.8,26.7,260.00 ,6.70 ,6.1,1.91,,4/1/2023,,4,1,2023,0700,PJ,2,7691.446237,18101,3464.183468
34.849,28.73,0.0022,0.0357,0.0012,1.905,81.8,26.7,260.00 ,6.70 ,6.1,1.91,,4/1/2023,,4,1,2023,0800,PJ,2,7691.446237,18101,3464.183468
33.76,28.899,0.0026,0.0304,0.0012,1.451,81.8,26.7,260.00 ,6.70 ,6.1,1.91,,4/1/2023,,4,1,2023,0900,PJ,2,7691.446237,18101,3464.183468
29.795,24.128,0.0026,0.0262,0.0012,1.335,81.8,26.7,260.00 ,6.70 ,6.1,1.91,,4/1/2023,,4,1,2023,1000,PJ,2,7691.446237,18101,3464.183468
29.327,24.582,0.0023,0.0236,0.0011,1.446,81.8,26.7,260.00 ,6.70 ,6.1,1.91,,4/1/2023,,4,1,2023,1100,PJ,2,7691.446237,18101,3464.183468
33.697,28.058,0.0022,0.0226,0.0011,1.428,81.8,26.7,260.00 ,6.70 ,6.1,1.91,,4/1/2023,,4,1,2023,1200,PJ,2,7691.446237,18101,3464.183468
32.896,26.488,0.0026,0.0226,0.0042, ,81.8,26.7,260.00 ,6.70 ,6.1,1.91,,4/1/2023,,4,1,2023,1300,PJ,2,7691.446237,18101,3464.183468
35.387,31.046,0.0028,0.0222,0.0159,1.273,81.8,26.7,260.00 ,6.70 ,6.1,1.91,,4/1/2023,,4,1,2023,1400,PJ,2,7691.446237,18101,3464.183468
